iter	RMSE
0	233.1074865
1	228.8170157
2	223.8119517
3	219.3391543
4	214.8893531
5	211.234957
6	207.6424227
7	203.444642
8	199.688642
9	195.555044
10	192.1749659
11	188.5179008
12	185.1647402
13	181.5266798
14	177.8129346
15	173.8268829
16	170.89509
17	168.1971038
18	164.5393089
19	161.9598049
20	158.9470105
21	156.1476176
22	153.2438173
23	150.007521
24	146.8767793
25	144.4031311
26	141.4909303
27	138.9299339
28	136.2758387
29	133.5640684
30	131.0031919
31	128.7460867
32	126.4825615
33	124.2262556
34	121.753006
35	119.7632262
36	117.6451859
37	115.4381936
38	113.4222936
39	111.5388147
40	109.4899686
41	107.5802819
42	105.5340573
43	103.7448016
44	102.1092808
45	100.4398998
46	99.10789134
47	97.49453783
48	95.64909293
49	93.7597786
50	92.2782246
51	90.78209252
52	89.44450211
53	87.96569096
54	86.74075246
55	85.41789723
56	83.96543939
57	82.77610071
58	81.31665137
59	80.20688265
60	78.88524922
61	77.77910775
62	76.78390546
63	75.64509813
64	74.60062686
65	73.37722196
66	72.24752382
67	71.10713093
68	70.22784134
69	69.3425313
70	68.22293961
71	67.32930973
72	66.29346934
73	65.08624419
74	64.11301926
75	63.0975318
76	62.26065676
77	61.47716012
78	60.50463533
79	59.70094574
80	58.89413396
81	58.19078474
82	57.50256181
83	56.78051865
84	56.16465114
85	55.35512411
86	54.64592306
87	53.9618056
88	53.2484416
89	52.56560032
90	51.73369019
91	51.16061838
92	50.5401702
93	49.9198686
94	49.25428789
95	48.56617721
96	48.06896
97	47.49194537
98	46.95669893
99	46.32119896
100	45.83246716
101	45.24161761
102	44.76363538
103	44.23858805
104	43.79707751
105	43.26759689
106	42.70465719
107	42.04461449
108	41.62753927
109	41.15793021
110	40.57883395
111	40.10621905
112	39.53540382
113	38.98420609
114	38.43151205
115	38.00880473
116	37.56896744
117	37.17543587
118	36.71571282
119	36.3553158
120	35.98889642
121	35.53322235
122	35.0965442
123	34.71049071
124	34.39769299
125	34.06455868
126	33.77243889
127	33.429681
128	33.04486302
129	32.67306911
130	32.31250034
131	31.88554107
132	31.57746639
133	31.22577536
134	30.99596553
135	30.65048228
136	30.28151496
137	29.94478518
138	29.65174035
139	29.38895956
140	29.08300602
141	28.84593155
142	28.64851875
143	28.33583847
144	28.06043193
145	27.75543355
146	27.46324593
147	27.1341065
148	26.90049144
149	26.64834946
150	26.33551346
151	26.08426521
152	25.84574374
153	25.60824556
154	25.3485935
155	25.08936337
156	24.82525102
157	24.55097736
158	24.38630306
159	24.07463442
160	23.88895646
161	23.66914569
162	23.45245541
163	23.29718555
164	23.11463816
165	22.92233534
166	22.68509493
167	22.49577799
168	22.29198452
169	22.09618405
170	21.89444752
171	21.70344144
172	21.59419865
173	21.4433985
174	21.25700775
175	21.18049623
176	21.03833037
177	20.81947235
178	20.61102582
179	20.44374609
180	20.30791188
181	20.1137052
182	20.00014308
183	19.848813
184	19.66705404
185	19.45320448
186	19.26951249
187	19.13615459
188	18.98303997
189	18.79480047
190	18.65821446
191	18.53245664
192	18.43461311
193	18.26131251
194	18.12816755
195	18.00789589
196	17.87390511
197	17.75096166
198	17.63787736
199	17.50652449
200	17.33927407
201	17.21201482
202	17.08250745
203	16.9666937
204	16.85118538
205	16.71367546
206	16.60431328
207	16.45231779
208	16.32299567
209	16.20927102
210	16.08157467
211	15.93713743
212	15.80526365
213	15.66784424
214	15.51849261
215	15.41067245
216	15.29506193
217	15.17707779
218	15.07713094
219	14.98078176
220	14.87516386
221	14.79796768
222	14.70611048
223	14.60402964
224	14.49231997
225	14.38394239
226	14.31508798
227	14.20525975
228	14.11420659
229	13.99764275
230	13.91531214
231	13.83371598
232	13.74812756
233	13.66613788
234	13.5917207
235	13.5170801
236	13.40565801
237	13.33696515
238	13.27077748
239	13.1665387
240	13.0761038
241	12.96445233
242	12.88926559
243	12.82609991
244	12.74587582
245	12.65011436
246	12.54234867
247	12.48366643
248	12.40164773
249	12.33818601
250	12.28249396
251	12.22768063
252	12.14228733
253	12.08739431
