iter	Passed	Remaining
0	4	4286
1	8	4423
2	12	4296
3	17	4456
4	21	4183
5	23	3927
6	26	3768
7	30	3778
8	32	3626
9	36	3577
10	39	3525
11	41	3457
12	45	3452
13	48	3417
14	52	3463
15	56	3464
16	59	3459
17	62	3424
18	66	3413
19	69	3408
20	73	3414
21	76	3381
22	79	3377
23	83	3375
24	85	3340
25	88	3307
26	91	3303
27	94	3286
28	98	3283
29	100	3260
30	103	3248
31	106	3226
32	109	3220
33	113	3210
34	116	3211
35	120	3220
36	124	3232
37	127	3232
38	131	3236
39	134	3218
40	137	3210
41	140	3210
42	143	3201
43	146	3183
44	149	3164
45	152	3162
46	155	3144
47	158	3139
48	161	3132
49	164	3130
50	168	3129
51	177	3235
52	182	3255
53	186	3271
54	190	3270
55	193	3258
56	196	3243
57	199	3241
58	202	3236
59	205	3222
60	208	3204
61	211	3197
62	214	3186
63	217	3184
64	221	3193
65	225	3188
66	228	3175
67	233	3201
68	237	3207
69	240	3201
70	244	3198
71	248	3197
72	251	3187
73	254	3179
74	257	3170
75	260	3170
76	264	3170
77	266	3154
78	269	3140
79	273	3140
80	276	3138
81	279	3124
82	281	3111
83	284	3100
84	286	3086
85	289	3077
86	292	3073
87	295	3058
88	297	3049
89	300	3036
90	303	3032
91	306	3024
92	309	3018
93	312	3011
94	315	3001
95	318	2999
96	321	2991
97	324	2984
98	327	2984
99	331	2979
100	334	2981
101	338	2977
102	340	2967
103	343	2958
104	346	2950
105	349	2946
106	352	2943
107	355	2940
108	359	2940
109	364	2946
110	367	2941
111	370	2938
112	373	2932
113	376	2929
114	379	2921
115	382	2913
116	385	2907
117	388	2900
118	391	2899
119	395	2897
120	398	2895
121	401	2889
122	404	2884
123	407	2878
124	410	2872
125	411	2856
126	414	2848
127	417	2843
128	420	2837
129	422	2829
130	426	2831
131	430	2832
132	433	2825
133	436	2821
134	439	2816
135	442	2811
136	445	2806
137	448	2802
138	452	2800
139	455	2797
140	458	2794
141	461	2788
142	464	2786
143	467	2778
144	470	2773
145	473	2767
146	476	2764
147	478	2757
148	481	2750
149	484	2748
150	487	2739
151	489	2733
152	492	2725
153	495	2720
154	498	2717
155	501	2711
156	504	2709
157	507	2703
158	510	2700
159	513	2696
160	516	2693
161	521	2696
162	525	2696
163	527	2689
164	531	2688
165	534	2685
166	537	2680
167	539	2672
168	542	2667
169	546	2666
170	549	2664
171	552	2659
172	555	2655
173	559	2653
174	561	2648
175	564	2644
176	567	2639
177	570	2633
178	573	2629
179	576	2626
180	579	2622
181	582	2618
182	583	2606
183	586	2603
184	590	2600
185	593	2596
186	596	2593
187	599	2589
188	603	2587
189	605	2582
190	608	2578
191	611	2575
192	614	2571
193	618	2569
194	621	2564
195	624	2561
196	627	2559
197	630	2555
198	634	2552
199	637	2550
200	640	2545
201	643	2542
202	646	2536
203	649	2534
204	652	2528
205	654	2524
206	658	2522
207	661	2518
208	665	2520
209	668	2516
210	671	2512
211	674	2508
212	678	2508
213	682	2507
214	685	2501
215	687	2496
216	691	2495
217	693	2488
218	698	2491
219	701	2488
220	707	2492
221	710	2488
222	713	2486
223	717	2485
224	722	2489
225	726	2487
226	731	2490
227	734	2488
228	739	2490
229	743	2487
230	746	2485
231	751	2486
232	755	2486
233	758	2483
234	762	2481
235	766	2480
236	768	2475
237	771	2469
238	773	2464
239	776	2458
240	779	2454
241	781	2448
242	784	2443
243	786	2437
244	790	2436
245	793	2433
246	798	2432
247	801	2429
248	805	2428
249	809	2427
250	812	2425
251	816	2423
252	819	2420
253	823	2419
254	826	2415
255	829	2411
256	834	2411
257	838	2411
258	842	2409
259	844	2404
260	848	2402
261	851	2399
262	854	2395
263	857	2390
264	860	2387
265	863	2383
266	866	2379
267	870	2376
268	872	2371
269	876	2368
270	879	2364
271	882	2362
272	886	2360
273	889	2357
274	892	2353
275	895	2350
276	899	2347
277	903	2345
278	905	2340
279	908	2335
280	911	2333
281	918	2338
282	921	2333
283	925	2334
284	929	2331
285	934	2332
286	937	2328
287	940	2324
288	943	2320
289	945	2315
290	948	2311
291	951	2306
292	954	2302
293	957	2299
294	960	2295
295	963	2290
296	965	2285
297	968	2281
298	971	2276
299	973	2272
300	977	2268
301	979	2264
302	983	2261
303	986	2257
304	990	2256
305	993	2252
306	996	2248
307	998	2243
308	1002	2240
309	1005	2237
310	1008	2234
311	1011	2231
312	1014	2227
313	1018	2224
314	1021	2221
315	1024	2218
316	1027	2214
317	1031	2212
318	1034	2208
319	1037	2205
320	1041	2203
321	1044	2199
322	1048	2197
323	1051	2193
324	1053	2188
325	1056	2185
326	1059	2181
327	1063	2177
328	1066	2174
329	1068	2168
330	1071	2164
331	1074	2161
332	1077	2158
333	1080	2154
334	1083	2151
335	1086	2147
336	1090	2145
337	1093	2142
338	1097	2140
339	1101	2138
340	1105	2135
341	1109	2134
342	1125	2155
343	1127	2150
344	1131	2147
345	1134	2144
346	1137	2141
347	1141	2139
348	1144	2134
349	1147	2130
350	1150	2126
351	1152	2122
352	1155	2117
353	1158	2114
354	1161	2110
355	1164	2106
356	1167	2103
357	1170	2099
358	1173	2095
359	1176	2091
360	1179	2088
361	1182	2084
362	1186	2081
363	1188	2077
364	1191	2073
365	1194	2069
366	1198	2067
367	1203	2066
368	1206	2062
369	1209	2059
370	1212	2055
371	1214	2051
372	1217	2047
373	1220	2043
374	1224	2040
375	1227	2037
376	1230	2033
377	1233	2029
378	1237	2027
379	1240	2023
380	1243	2019
381	1246	2015
382	1248	2011
383	1251	2008
384	1254	2004
385	1258	2002
386	1261	1998
387	1264	1994
388	1267	1990
389	1270	1987
390	1273	1983
391	1275	1979
392	1279	1975
393	1281	1971
394	1285	1968
395	1288	1964
396	1291	1961
397	1294	1957
398	1297	1953
399	1300	1950
400	1303	1946
401	1305	1942
402	1309	1939
403	1312	1935
404	1315	1932
405	1318	1928
406	1321	1925
407	1324	1921
408	1326	1917
409	1330	1914
410	1333	1911
411	1336	1907
412	1339	1903
413	1342	1900
414	1345	1896
415	1347	1892
416	1350	1888
417	1353	1884
418	1355	1879
419	1358	1876
420	1361	1872
421	1364	1868
422	1366	1864
423	1370	1861
424	1372	1857
425	1377	1855
426	1379	1851
427	1382	1847
428	1385	1843
429	1387	1839
430	1391	1836
431	1393	1832
432	1396	1828
433	1399	1825
434	1402	1821
435	1406	1819
436	1409	1815
437	1412	1812
438	1415	1808
439	1418	1805
440	1421	1801
441	1424	1798
442	1426	1793
443	1429	1789
444	1432	1786
445	1436	1784
446	1438	1780
447	1441	1775
448	1444	1772
449	1446	1768
450	1449	1764
451	1451	1760
452	1454	1756
453	1457	1752
454	1459	1748
455	1461	1744
456	1464	1740
457	1469	1738
458	1472	1735
459	1475	1731
460	1478	1729
461	1482	1726
462	1485	1723
463	1488	1719
464	1491	1715
465	1494	1712
466	1497	1708
467	1499	1704
468	1502	1700
469	1505	1698
470	1508	1694
471	1511	1690
472	1514	1687
473	1516	1683
474	1519	1679
475	1522	1676
476	1525	1673
477	1529	1669
478	1531	1666
479	1535	1663
480	1538	1659
481	1541	1656
482	1543	1652
483	1546	1649
484	1549	1645
485	1552	1641
486	1555	1638
487	1558	1634
488	1560	1630
489	1563	1626
490	1566	1623
491	1569	1620
492	1573	1617
493	1576	1614
494	1579	1611
495	1582	1607
496	1584	1604
497	1587	1600
498	1590	1596
499	1593	1593
500	1596	1590
501	1599	1586
502	1601	1582
503	1606	1580
504	1609	1577
505	1613	1574
506	1615	1570
507	1618	1567
508	1622	1564
509	1625	1561
510	1627	1557
511	1630	1553
512	1633	1550
513	1637	1547
514	1640	1544
515	1642	1540
516	1645	1537
517	1648	1533
518	1652	1531
519	1654	1527
520	1656	1523
521	1660	1520
522	1663	1516
523	1665	1513
524	1668	1509
525	1671	1505
526	1673	1502
527	1676	1498
528	1679	1495
529	1682	1491
530	1684	1487
531	1687	1484
532	1690	1480
533	1693	1477
534	1696	1474
535	1698	1470
536	1702	1467
537	1704	1463
538	1707	1460
539	1710	1456
540	1713	1454
541	1716	1450
542	1719	1447
543	1722	1443
544	1725	1440
